Date,City,Temperature_C_max,Temperature_C_min,Dew_Point_C_mean,Relative_Humidity_Pct_mean,Snow_On_Ground_cm_mean,Wind_Speed_kmh_mean,Max_Gust_Speed_kmh_max,Station_Pressure_kPa_mean,Cooling_Degree_Days_sum,Heating_Degree_Days_sum,Wind_Chill_mean
2010-01-01,Edmonton,-16.6,-25.0,-22.225,83.125,20.0,9.034025005694009,42.73913043478261,93.5084732325879,0.0,38.8,-14.395901073136784
2010-01-02,Edmonton,-14.9,-19.4,-18.804166666666667,83.625,17.0,9.034025005694009,42.73913043478261,93.5084732325879,0.0,35.2,-14.395901073136784
2010-01-03,Edmonton,-12.8,-17.1,-16.316666666666666,86.79166666666667,17.0,9.034025005694009,42.73913043478261,93.5084732325879,0.0,33.0,-14.395901073136784
2010-01-04,Edmonton,-14.4,-20.0,-17.4375,92.5,17.0,9.034025005694009,42.73913043478261,93.5084732325879,0.0,35.2,-14.395901073136784
2010-01-05,Edmonton,-19.1,-20.5,-21.091666666666665,89.54166666666667,18.0,9.034025005694009,42.73913043478261,93.5084732325879,0.0,37.8,-14.395901073136784
2010-01-06,Edmonton,-17.5,-21.0,-21.120833333333334,87.41666666666667,17.0,9.034025005694009,42.73913043478261,93.5084732325879,0.0,37.3,-14.395901073136784
2010-01-07,Edmonton,-12.7,-22.1,-20.308333333333334,80.16666666666667,18.0,9.034025005694009,42.73913043478261,93.5084732325879,0.0,35.4,-14.395901073136784
2010-01-08,Edmonton,-6.1,-18.5,-14.783333333333331,80.45833333333333,18.0,9.034025005694009,42.73913043478261,93.5084732325879,0.0,30.3,-14.395901073136784
2010-01-09,Edmonton,2.1,-8.2,-4.125,93.20833333333331,18.0,9.034025005694009,42.73913043478261,93.5084732325879,0.0,21.1,-14.395901073136784
2010-01-10,Edmonton,3.7,-4.4,-3.279166666666667,84.45833333333333,18.0,9.034025005694009,42.73913043478261,93.5084732325879,0.0,18.4,-14.395901073136784
2010-01-11,Edmonton,5.6,-2.6,-0.8291666666666666,84.66666666666667,18.0,9.034025005694009,42.73913043478261,93.5084732325879,0.0,16.5,-14.395901073136784
2010-01-12,Edmonton,3.3,-3.2,-1.1833333333333331,91.25,17.0,9.034025005694009,42.73913043478261,93.5084732325879,0.0,17.9,-14.395901073136784
