Year,Total_Incidents,City
2010,28011.0,Saskatoon
2011,28536.0,Saskatoon
2012,26758.0,Saskatoon
2013,25968.0,Saskatoon
2014,27345.0,Saskatoon
2015,28411.0,Saskatoon
2016,30912.0,Saskatoon
2017,30709.0,Saskatoon
2018,30692.0,Saskatoon
2019,29165.0,Saskatoon
2020,26459.0,Saskatoon
2021,27162.0,Saskatoon
2022,29719.0,Saskatoon
2023,32705.0,Saskatoon
2024,30805.0,Saskatoon
