Year,Total_Incidents,City
2010,102537.0,Edmonton
2011,92489.0,Edmonton
2012,92334.0,Edmonton
2013,96080.0,Edmonton
2014,99731.0,Edmonton
2015,113270.0,Edmonton
2016,122287.0,Edmonton
2017,130595.0,Edmonton
2018,134625.0,Edmonton
2019,139892.0,Edmonton
2020,119642.0,Edmonton
2021,114169.0,Edmonton
2022,125485.0,Edmonton
2023,123275.0,Edmonton
2024,121918.0,Edmonton
