Year,Total_Incidents,City
2010,24489.0,Regina
2011,24182.0,Regina
2012,23146.0,Regina
2013,21621.0,Regina
2014,21133.0,Regina
2015,22274.0,Regina
2016,25443.0,Regina
2017,24405.0,Regina
2018,26657.0,Regina
2019,27540.0,Regina
2020,20644.0,Regina
2021,21443.0,Regina
2022,21576.0,Regina
2023,23017.0,Regina
2024,22195.0,Regina
