city,week_key,n_posts,mean_polarity,median_polarity,pct_negative,pct_positive,n_posts_crime,mean_polarity_crime,median_polarity_crime,pct_negative_crime,pct_positive_crime
Edmonton,2009-W33,1.0,0.175,0.175,0.0,1.0,,,,,
Edmonton,2009-W38,1.0,-0.13816738816738816,-0.13816738816738816,1.0,0.0,1.0,-0.13816738816738816,-0.13816738816738816,1.0,0.0
Edmonton,2009-W44,1.0,-0.04352661227661226,-0.04352661227661226,0.0,0.0,1.0,-0.04352661227661226,-0.04352661227661226,0.0,0.0
Edmonton,2009-W49,1.0,0.11893939393939394,0.11893939393939394,0.0,1.0,,,,,
Edmonton,2010-W01,2.0,0.0695616920461641,0.0695616920461641,0.0,0.5,1.0,0.00459167241775938,0.00459167241775938,0.0,0.0
Edmonton,2010-W03,1.0,0.14073011398592797,0.14073011398592797,0.0,1.0,1.0,0.14073011398592797,0.14073011398592797,0.0,1.0
Edmonton,2010-W07,1.0,0.13262135241301912,0.13262135241301912,0.0,1.0,,,,,
Edmonton,2010-W15,1.0,0.2579226377071205,0.2579226377071205,0.0,1.0,1.0,0.2579226377071205,0.2579226377071205,0.0,1.0
Edmonton,2010-W16,1.0,0.11134920634920636,0.11134920634920636,0.0,1.0,1.0,0.11134920634920636,0.11134920634920636,0.0,1.0
Edmonton,2010-W21,1.0,-0.2,-0.2,1.0,0.0,,,,,
Edmonton,2010-W26,1.0,0.028260667903525036,0.028260667903525036,0.0,0.0,1.0,0.028260667903525036,0.028260667903525036,0.0,0.0
Edmonton,2010-W27,1.0,-0.01712962962962963,-0.01712962962962963,0.0,0.0,1.0,-0.01712962962962963,-0.01712962962962963,0.0,0.0
Edmonton,2010-W28,1.0,-0.012499999999999997,-0.012499999999999997,0.0,0.0,,,,,
Edmonton,2010-W41,1.0,0.3482142857142857,0.3482142857142857,0.0,1.0,,,,,
Edmonton,2010-W45,1.0,-0.08217592592592594,-0.08217592592592594,1.0,0.0,,,,,
Edmonton,2010-W46,1.0,0.00862193362193361,0.00862193362193361,0.0,0.0,1.0,0.00862193362193361,0.00862193362193361,0.0,0.0
Edmonton,2010-W47,1.0,0.19065656565656564,0.19065656565656564,0.0,1.0,1.0,0.19065656565656564,0.19065656565656564,0.0,1.0
Edmonton,2010-W48,1.0,0.1775831934505404,0.1775831934505404,0.0,1.0,1.0,0.1775831934505404,0.1775831934505404,0.0,1.0
Edmonton,2010-W49,4.0,0.06866110820525081,0.10739744125424502,0.25,0.75,4.0,0.06866110820525081,0.10739744125424502,0.25,0.75
Edmonton,2010-W50,2.0,-0.009863535620433747,-0.009863535620433747,0.0,0.0,2.0,-0.009863535620433747,-0.009863535620433747,0.0,0.0
