city,year_month,n_posts,mean_polarity,median_polarity,pct_negative,pct_positive,pct_neutral,n_posts_crime,mean_polarity_crime,median_polarity_crime,pct_negative_crime,pct_positive_crime,pct_neutral_crime
Edmonton,2009-08,1.0,0.175,0.175,0.0,1.0,0.0,,,,,,
Edmonton,2009-09,1.0,-0.1381673881673881,-0.1381673881673881,1.0,0.0,0.0,1.0,-0.1381673881673881,-0.1381673881673881,1.0,0.0,0.0
Edmonton,2009-10,1.0,-0.0435266122766122,-0.0435266122766122,0.0,0.0,1.0,1.0,-0.0435266122766122,-0.0435266122766122,0.0,0.0,1.0
Edmonton,2009-12,1.0,0.1189393939393939,0.1189393939393939,0.0,1.0,0.0,,,,,,
Edmonton,2010-01,3.0,0.09328449935941867,0.1345317116745688,0.0,0.6666666666666666,0.3333333333333333,2.0,0.0726608932018436,0.0726608932018436,0.0,0.5,0.5
Edmonton,2010-02,1.0,0.1326213524130191,0.1326213524130191,0.0,1.0,0.0,,,,,,
Edmonton,2010-04,2.0,0.1846359220281634,0.1846359220281634,0.0,1.0,0.0,2.0,0.1846359220281634,0.1846359220281634,0.0,1.0,0.0
Edmonton,2010-05,1.0,-0.2,-0.2,1.0,0.0,0.0,,,,,,
Edmonton,2010-07,3.0,-0.00045632057536816595,-0.0124999999999999,0.0,0.0,1.0,2.0,0.005565519136947701,0.005565519136947701,0.0,0.0,1.0
Edmonton,2010-10,1.0,0.3482142857142857,0.3482142857142857,0.0,1.0,0.0,,,,,,
Edmonton,2010-11,3.0,0.03903419111752444,0.0086219336219336,0.3333333333333333,0.3333333333333333,0.3333333333333333,2.0,0.09963924963924961,0.09963924963924961,0.0,0.5,0.5
Edmonton,2010-12,9.0,0.07997696601205881,0.112037037037037,0.1111111111111111,0.6666666666666666,0.2222222222222222,7.0,0.061785793575810856,0.0718749999999999,0.14285714285714285,0.5714285714285714,0.2857142857142857
Edmonton,2011-01,6.0,0.09672711143047337,0.08212250273672685,0.0,0.5,0.5,4.0,0.154949298098091,0.1809512277751293,0.0,0.75,0.25
