Date,City,Temperature_C_max,Temperature_C_min,Dew_Point_C_mean,Relative_Humidity_Pct_mean,Rain_mm_sum,Snow_cm_sum,Snow_On_Ground_cm_mean,Wind_Speed_kmh_mean,Max_Gust_Speed_kmh_max,Station_Pressure_kPa_mean,Visibility_km_mean,Cooling_Degree_Days_sum,Heating_Degree_Days_sum,Humidex_mean,Wind_Chill_mean
2018-05-31,Regina,23.182758620689654,6.641379310344828,1.9272849462365593,45.6989247311828,0.0,0.0,,17.543010752688172,101.0,94.55862903225807,,19.1,108.2,26.534287682014952,-5.0
2018-06-30,Regina,24.776,9.536,8.268118243509825,58.101419684894395,0.0,0.0,,15.976554485914937,71.0,94.32455022488756,,23.0,44.1,26.824613481756337,
2018-07-31,Regina,27.107407407407408,10.04814814814815,10.124963054187193,59.333990147783254,0.0,0.0,,16.678776683087026,72.0,94.95572536945812,,44.7,29.1,27.732239123310553,
2018-08-31,Regina,27.338709677419356,9.183870967741935,7.688306451612903,55.943548387096776,0.0,0.0,,14.259408602150538,65.0,94.51635752688172,,61.7,53.7,28.180898394534758,
2018-09-30,Regina,15.189285714285715,1.7857142857142858,1.7609974747474746,65.10435606060607,0.0,0.0,,16.147664141414143,67.0,94.90691666666666,,0.0,266.4,25.5,-4.7471661054994385
2018-10-31,Regina,9.326666666666666,-4.736666666666666,-3.833001265022138,68.31696710942441,0.0,0.0,0.2857142857142857,16.123814041745728,65.0,94.83584598355472,,0.0,470.6,,-6.80988154274919
2018-11-30,Regina,-2.2733333333333334,-9.476666666666667,-8.5525,81.18888888888888,0.0,0.0,0.0,16.324074074074073,56.0,94.71415277777778,,0.0,716.3,,-12.129033223809438
2018-12-31,Regina,-3.9000000000000004,-13.793548387096775,-11.414247311827959,79.74193548387096,0.0,0.0,0.2222222222222222,14.917487684729066,56.0,94.63896505376344,,0.0,832.3,,-15.141341045967762
2019-01-31,Regina,-8.012903225806452,-20.07741935483871,-16.885887096774194,77.2002688172043,0.0,0.0,0.6,19.291666666666664,74.0,94.73337365591398,,0.0,993.2,,-21.98262253377028
2019-02-28,Regina,-18.17142857142857,-28.782142857142855,-26.28779761904762,71.75,0.0,0.0,8.391304347826088,14.407738095238097,63.0,95.191875,,0.0,1161.2,,-31.231228409816186
2019-03-31,Regina,0.14193548387096797,-12.693548387096774,-10.34489247311828,73.36962365591398,0.0,0.0,6.0625,17.134408602150536,60.0,95.12465053763441,,0.0,752.3,,-14.510696307762872
2019-04-30,Regina,12.53,-3.0133333333333336,-5.200555555555556,54.90416666666667,0.0,0.0,0.1,19.166666666666668,70.0,94.549125,,0.0,397.2,,-7.359447303642351
2019-05-31,Regina,18.570967741935487,0.8774193548387097,-3.212231182795699,43.70967741935484,0.0,0.0,,17.38978494623656,78.0,94.69654569892472,,4.6,261.4,27.3125,-6.86404761904762
2019-06-30,Regina,23.653333333333332,9.406666666666666,5.924166666666666,53.87083333333333,0.0,0.0,,17.42361111111111,75.0,94.36369444444445,,22.9,66.8,26.645687645687644,
2019-07-31,Regina,25.629032258064516,10.619354838709677,11.370295698924732,65.90456989247312,0.0,0.0,,15.396505376344086,87.0,94.58727150537635,,31.6,27.799999999999997,27.47850681926769,
2019-08-31,Regina,24.196666666666665,8.713333333333333,8.914159654043946,64.22440392706872,0.0,0.0,,15.671575502571294,60.0,94.61959326788218,,26.3,72.7,27.902031166001752,
2019-09-30,Regina,18.086666666666666,6.78,6.707916666666667,71.93472222222222,0.0,0.0,,16.165277777777778,64.0,94.52884722222221,,5.7,172.3,26.814285714285717,-4.857142857142857
2019-10-31,Regina,7.286666666666666,-5.4399999999999995,-4.161962365591398,70.63978494623656,0.0,0.0,0.36,17.869047619047617,77.0,94.57323732718893,,0.0,512.4,,-8.442022907647909
2019-11-30,Regina,-0.7633333333333334,-9.816666666666666,-7.8815277777777775,80.35833333333333,0.0,0.0,0.28,15.383333333333333,55.0,94.81541666666666,,0.0,699.0,,-11.227453692939626
2019-12-31,Regina,-5.183870967741935,-15.97741935483871,-13.151075268817204,79.33602150537634,0.0,0.0,0.8709677419354839,14.184139784946236,56.0,94.48438172043011,,0.0,886.0,,-16.52931338180286
2020-01-31,Regina,-8.341935483870968,-17.603225806451615,-15.728494623655916,76.58198924731182,0.0,0.0,1.2666666666666666,18.029569892473116,66.0,94.60537634408603,,0.0,960.2,,-20.302631069853245
2020-02-29,Regina,-2.403448275862069,-16.420689655172414,-13.125574712643678,74.00431034482759,0.0,0.0,0.7894736842105263,15.244252873563218,73.0,94.61314655172414,,0.0,794.8,,-16.347763512112973
2020-03-31,Regina,2.8096774193548386,-9.006451612903225,-8.155645161290321,70.2741935483871,0.0,0.0,0.0,18.06720430107527,85.0,94.62158602150537,,0.0,654.1,,-10.835670476911917
